timestamp,power_watt
2024-01-01 00:00:00,822.6515199278923
2024-01-01 00:01:00,844.6202030978372
2024-01-01 00:02:00,855.8687959238897
2024-01-01 00:03:00,847.7426553300364
2024-01-01 00:04:00,861.6380275834846
2024-01-01 00:05:00,842.0163673921899
2024-01-01 00:06:00,839.624431081512
2024-01-01 00:07:00,844.4201858820406
2024-01-01 00:08:00,861.1135652438653
2024-01-01 00:09:00,870.1168772030383
2024-01-01 00:10:00,831.0869242888176
2024-01-01 00:11:00,882.3742131287308
2024-01-01 00:12:00,817.8358238866474
2024-01-01 00:13:00,832.7667762718838
2024-01-01 00:14:00,831.3107778732825
2024-01-01 00:15:00,836.9625593046873
2024-01-01 00:16:00,803.6231609099901
2024-01-01 00:17:00,815.2833375885971
2024-01-01 00:18:00,834.762017221883
2024-01-01 00:19:00,828.6609556223864
2024-01-01 00:20:00,831.0772862046099
2024-01-01 00:21:00,792.0736404595023
2024-01-01 00:22:00,803.4074581391895
2024-01-01 00:23:00,813.0394213594149
2024-01-01 00:24:00,821.3660519635143
2024-01-01 00:25:00,809.721628205208
2024-01-01 00:26:00,813.4584543695862
2024-01-01 00:27:00,796.6702656915464
2024-01-01 00:28:00,842.4456493211422
2024-01-01 00:29:00,821.6044683834295
2024-01-01 00:30:00,830.2545802863704
2024-01-01 00:31:00,843.8718859288965
2024-01-01 00:32:00,855.3337839856025
2024-01-01 00:33:00,824.947650207832
2024-01-01 00:34:00,850.852001565324
2024-01-01 00:35:00,864.869996720622
2024-01-01 00:36:00,825.6591013411553
2024-01-01 00:37:00,845.5552591940242
2024-01-01 00:38:00,841.6776990436902
2024-01-01 00:39:00,864.6919079385557
2024-01-01 00:40:00,835.417963226086
2024-01-01 00:41:00,844.759018921236
2024-01-01 00:42:00,873.4571295870007
2024-01-01 00:43:00,848.5616110805245
2024-01-01 00:44:00,809.191881944616
2024-01-01 00:45:00,835.3061661553099
2024-01-01 00:46:00,809.6490606214826
2024-01-01 00:47:00,813.9079770359288
2024-01-01 00:48:00,848.1554311781076
2024-01-01 00:49:00,812.1751467885987
2024-01-01 00:50:00,801.8670325124472
2024-01-01 00:51:00,802.982040254285
2024-01-01 00:52:00,788.9059722383032
2024-01-01 00:53:00,826.382963912796
2024-01-01 00:54:00,825.4161784304994
2024-01-01 00:55:00,827.980599971597
2024-01-01 00:56:00,828.5775381042256
2024-01-01 00:57:00,843.5226099267143
2024-01-01 00:58:00,784.1858802542167
2024-01-01 00:59:00,812.112660429752
2024-01-01 01:00:00,786.7160306406803
2024-01-01 01:01:00,821.7409025611224
